Timestamp,How old are you?,What is your gender?,How tall are you (in inches please... if you don't know guess a number!)?,How much do you weigh (in lbs please... if you don't know guess a number!)?,What is your major? (Answer in full. Ex: Computer Science),Do you have/are planning to add a minor?,"If the answer to your previous question was yes, what minor? (Answer in full. Ex: Computer Science)","On a scale of 1-10, how much do you like BU?","On a scale of 1-10, how confident are you in your academics?","On a scale of 1-10, how confident are you that you will get a job after graduation?","On a scale of 1-10, how often are you anxious about the future?",How many chickens can fit in the basement of CAS?,How many zombies do you think you could kill in the zombie apocalypse?,"If you could have an infinite number of goats, how many goats would you want?",What is your favorite color?,Use one word to describe how do you feel about BU.,Column 17
3/25/2025 18:42:24,23,Male,5’11,180,Business and Psychology,Yes,Computer Science,7,8,10,6,75000,20,A billion,Cyan,Broad,
3/25/2025 19:12:48,21,Non-Binary,67,207,Archaeology,Yes,Visual Arts,7,7,6,10,10002,4,300,black,Grindstone,
3/25/2025 19:42:09,20,Female,67,190,Physics,No,,7,1,3,9,"587,000",8,7,Pink,Weird,
3/25/2025 19:42:30,21,Male,5’9,200,Marine Science,Yes,Earth and Environment ,6,7,1,10,Roughly 700,Maybe 2 ,All the goats,Blue,Alright,
3/25/2025 19:59:53,18,Male,"5'9""",165,Neuroscience and Music,Yes,Psychology,7,6,3,7,"Assuming every chicken is a sphere and has a radius of 0.4m, the volume would be 4/3 of Pi(0.4)^3 and therefore 0.3 meters cubed. The CAS basement is probably the size of the CAS basement, meaning it would be about 10000 m^3. Putting each chicken in there would mean that 0.3m ^3 is covered completely (chickens are squishy). Therefore, we do 10000/0.3 and get around 300000 chickens in the CAS Basement.",Probably 100+,Infinity,Black,Human (both good and bad aspects),
3/25/2025 20:05:13,19,Female,56,170,Astronomy & Physics,No,,6,3,3,9,unethically like infinite amount,"erm,,, i’m scared so like maybe like 2 before i run and die",1,purple,"stressful, but freeing",
3/25/2025 21:06:20,19,Female,66,150,Data Science,Yes,Media Science,10,6,8,8,"1,000",5,0,Navy blue,Satisfied,
3/25/2025 21:33:23,19,Female,65,130,Mechanical engineering,No,,9,10,8,3,"25,000",10,3,Purple,Grind,
3/25/2025 23:21:03,18,Male,69 in,140 lbs,Political Science,Yes,Urban studies,8,9,6,4,3000,3,0,Red,Satisfied,
3/26/2025 0:33:12,19,Non-Binary,"65""",160,Film and TV,Yes,Journalism,9,8,9,4,"500,000",2,0,Green,Happy,
3/26/2025 14:25:14,21,Female,5'3'',175,Film & TV,No,,6,9,4,10,10000,21,4,3,Eh.,
3/27/2025 11:40:53,18,Male,68,160,Computer science and economics,No,,7,6,8,7,Like 2 thousand without stacking,Like 20 but I trip and die after that,"0, dont want to ruin the economy",Light blues,Windy ,
3/27/2025 22:29:21,22,Male,65,142,Computer Science,No,,3,2,1,5,"12,844",12,0,Purple,Agonizing,
3/29/2025 12:38:45,18,Male,73,175,Neuroscience ,Yes,Chemistry ,7,6,8,7,4000,All,0.1 (Stew preferably),Purple,Expensive,
