State,Ag,Mining,Constr,Manuf,Manuf_nd,Transp,Comm,Energy,TradeW,TradeR,RE,Services,Govt
PA,1,0.5,3.8,11.3,9.3999996,3,2.2,3.5999999,5.9000001,8.6000004,19,21.200001,10.5
RI,0.80000001,0.1,3.5,11.1,5.5999999,1.5,2.5,3.0999999,5.5999999,8.6999998,22.6,22.700001,12.1
SC,1.4,0.2,4.6999998,10.4,16.1,2.4000001,2,3.5999999,5.8000002,10.3,13.3,15.1,14.8
SD,9.8999996,1.2,3.7,11.1,3.4000001,3.0999999,1.6,3.0999999,6.0999999,8.8000002,20.6,15.6,11.7
TN,1.2,0.30000001,3.9000001,12.4,10.5,4.8000002,2,1,7.4000001,10.9,13.8,19.6,12.1
TX,1.3,7.5,4.4000001,8.6000004,7.6999998,3.7,3.2,3.7,7.3000002,8.6999998,14.3,18,11.7
UT,1.2,3.2,5.6999998,9.1000004,4.9000001,4.0999999,2,2.5999999,6.0999999,10.3,16.5,19.6,14.7
VT,2.3,0.30000001,4.3000002,12.3,5.8000002,2.2,2.5999999,3.5999999,6.0999999,9.6999998,17.799999,20.799999,12.1
VA,1,0.5,4.4000001,6,9.1999998,2.8,3.4000001,2.4000001,5.5999999,8.1999998,17.799999,19.9,18.9
WA,2.9000001,0.2,4.8000002,8.8000002,4.4000001,3.2,3.2,1.6,7.4000001,9.6999998,18.299999,20.700001,14.9
WV,0.60000002,8,4.5999999,7.1999998,10.9,3.3,2.3,7.5,5.3000002,8.6999998,11.2,16.5,13.8
WI,2.2,0.30000001,4.3000002,16.5,11.3,3.2,1.5,2.4000001,6.3000002,8.6000004,16.1,16.6,10.9
WY,2.0999999,31.6,3.7,1.4,4.3000002,6.4000001,1.4,6.4000001,3.2,6.5,10.4,9.6000004,12.9
