id,age,sex,femur length
327,juv,female,12.15
328,juv,male,9.22
329,juv,female,10.05
330,juv,male,10.37
331,juv,male,12.75
332,juv,female,7.98
333,juv,male,10.31
334,juv,male,7.65
335,juv,female,10.94
336,juv,male,7.79
337,juv,female,9.88
338,juv,female,10.69
339,juv,female,9.71
340,juv,male,10.5
341,juv,female,10.42
342,juv,female,10.29
343,juv,female,8.33
344,juv,male,9.38
345,juv,male,11.8
346,juv,male,7.72
347,juv,female,8.29
348,juv,female,9.11
349,juv,female,9.62
350,juv,female,9.6
351,subadult,male,15.34
352,subadult,male,12.38
353,subadult,male,15.03
354,subadult,female,12.09
355,subadult,male,14.98
356,subadult,male,15.44
357,subadult,male,13.06
358,subadult,female,13.98
359,subadult,female,14.41
360,subadult,male,16.08
361,subadult,male,15.78
362,subadult,male,13.84
363,subadult,male,12.79
364,subadult,male,13.03
365,subadult,male,12.25
366,subadult,female,12.99
367,subadult,female,13.78
368,subadult,male,17.55
369,subadult,male,15.67
370,subadult,female,11.93
371,subadult,male,15.31
372,subadult,female,14.32
373,subadult,male,15.17
374,subadult,male,17.42
375,subadult,male,16.92
376,subadult,female,11.35
377,subadult,female,15.76
378,subadult,female,11.3
379,subadult,female,10.98
380,subadult,male,12.26
381,subadult,male,15.91
382,subadult,female,13.1
383,subadult,male,13.07
384,subadult,male,17.3
385,subadult,female,9.97
386,subadult,female,13.72
387,subadult,female,13.25
388,subadult,male,14.52
389,subadult,female,10.07
390,subadult,female,13.77
391,subadult,male,15.4
392,subadult,male,13.79
393,subadult,male,14.34
394,subadult,male,11.55
395,subadult,male,16.19
396,subadult,male,10.75
397,subadult,male,14.01
398,subadult,male,11.7
399,subadult,male,14.52
400,subadult,female,14.49
401,subadult,female,11.69
402,subadult,male,15.93
403,subadult,female,12.18
404,subadult,male,13.44
405,subadult,female,15.09
406,subadult,female,12.63
407,subadult,female,14.3
408,subadult,female,10.8
409,subadult,male,16.84
410,subadult,male,13.18
411,subadult,male,8.77
412,subadult,female,10.17
413,subadult,female,15.15
414,subadult,male,13.09
415,subadult,female,12.52
416,subadult,female,13.69
417,subadult,female,13.09
418,subadult,male,16.65
419,subadult,female,12.36
420,subadult,male,17.54
421,subadult,female,15.05
422,subadult,female,11.53
423,subadult,male,16.66
424,subadult,male,19.32
425,subadult,female,15.73
426,subadult,female,13.82
427,subadult,male,10.3
428,subadult,female,12.42
429,subadult,male,17.83
430,subadult,female,11.73
431,subadult,male,16.83
432,subadult,male,16.62
433,subadult,male,13.88
434,subadult,female,13.01
435,subadult,male,12.02
436,subadult,female,10.05
437,subadult,male,15.86
438,subadult,male,15.05
439,subadult,male,10.67
440,subadult,female,12.16
441,subadult,female,11.25
442,subadult,female,12.31
443,subadult,female,13.55
444,subadult,female,9.19
445,subadult,male,18.09
446,subadult,male,11.14
447,subadult,female,11.69
448,subadult,male,14.44
449,subadult,female,11.87
450,subadult,male,17.85
451,adult,female,17.8
452,adult,male,23.1
453,adult,female,15.91
454,adult,female,14.88
455,adult,female,18.3
456,adult,female,16.28
457,adult,female,17.26
458,adult,female,16.05
459,adult,female,16.94
460,adult,male,19.51
461,adult,female,17.94
462,adult,female,17.65
463,adult,female,16.55
464,adult,male,22.25
465,adult,female,14.27
466,adult,female,20.66
467,adult,male,20.48
468,adult,female,17.13
469,adult,male,19.89
470,adult,female,16.37
471,adult,female,12.22
472,adult,male,15.56
473,adult,male,17.94
474,adult,female,18.37
475,adult,male,17.99
476,adult,female,14.29
477,adult,female,17.03
478,adult,female,13.9
479,adult,female,17.84
480,adult,female,20.53
481,adult,male,20.52
482,adult,male,17.14
483,adult,female,14.49
484,adult,female,17.76
485,adult,female,17.02
486,adult,male,17.62
487,adult,male,17.7
488,adult,female,18.86
489,adult,female,19.29
490,adult,male,20.07
491,adult,male,19.24
492,adult,female,12.66
493,adult,male,17.98
494,adult,female,15.95
495,adult,female,17.85
496,adult,female,15.24
497,adult,male,18.01
498,adult,male,17.27
499,adult,male,19.62
500,adult,male,16.09
501,adult,male,20.6
502,adult,female,17.72
503,adult,male,14.26
504,adult,female,16.72
505,adult,male,18.05
506,adult,female,16.94
507,adult,male,13.93
508,adult,male,18.49
509,adult,female,16.3
510,adult,female,16.35
511,adult,male,19.07
512,adult,female,17.01
513,adult,female,17.17
514,adult,male,18.05
515,adult,female,16.44
516,adult,male,18.45
517,adult,male,17.05
518,adult,female,16.4
519,adult,female,14.72
520,adult,female,15.37
521,adult,male,17.1
522,adult,female,18.17
523,adult,male,19.31
524,adult,male,19.05
525,adult,female,18.9
