year	country	gov_right1	gov_cent1	gov_left1	gov_party	elect	vturn	womenpar	realgdpgr	inflation	debt_hist	deficit	ttl_labf	labfopar	unemp	pop	pop15_64	pop65	elderly
2003	Australia	100.00	0.00	0.00	1		94.9	25.3	3.01	2.73	20.37	2.67	10038.74	75.82	5.93	19721.00	13240.00	2511.00	12.73
2004	Australia	100.00	0.00	0.00	1	09/10/2004	94.3	24.7	3.93	2.34	20.79	1.79	10155.41	75.79	5.39	19933.00	13400.00	2559.00	12.84
2005	Australia	100.00	0.00	0.00	1		94.3	24.7	3.23	2.69	20.67	2.23	10455.08	76.98	5.03	20177.00	13582.00	2612.00	12.95
2006	Australia	100.00	0.00	0.00	1		94.3	24.7	2.70	3.56	19.66	2.56	10683.72	77.50	4.78	20451.00	13785.00	2664.00	13.03
2007	Australia	92.05	0.00	7.95	2	24/11/2007	94.8	26.7	4.55	2.33	19.51	1.97	10964.12	78.07	4.38	20828.00	14044.00	2737.00	13.14
2008	Australia	0.00	0.00	100.00	5		94.8	26.7	2.46	4.35	20.48	-0.29	11258.63	78.50	4.23	21249.00	14343.00	2805.00	13.20
2009	Australia	0.00	0.00	100.00	5		94.8	27.3	1.82	1.77	26.40	-4.03	11498.82	78.53	5.56	21692.00	14643.00	2891.00	13.33
2010	Australia	0.00	0.00	100.00	5	21/08/2010	93.2	24.7	2.36	2.92	29.41	-4.61	11687.23	78.72	5.21	22032.00	14846.00	2987.00	13.56
2011	Australia	0.00	0.00	100.00	5		93.2	24.7	2.58	3.30	33.96	-3.45	11877.20	79.08	5.08	22340.00	15019.00	3088.00	13.82
2012	Australia	0.00	0.00	100.00	5		93.2	24.7	3.62	1.76	37.27	-3.04	12029.51	79.09	5.22	22728.00	15210.00	3218.00	14.16
2013	Australia	28.77	0.00	71.23	4	07/09/2013	93.2	26.0	2.04	2.45	38.20	-2.03	12193.21	79.09	5.66	23126.00	15417.00	3338.00	14.43
2014	Australia	100.00	0.00	0.00	1		93.2	26.0	2.62	2.49	42.19	-2.26	12336.07	79.02	6.07	23491.00	15612.00	3456.00	14.71
1960	Austria	0.00	50.00	50.00	3		94.2	5.5		1.95	20.26	-0.50	3274.00		2.60	7047.54	4632.57	861.46	12.22
1961	Austria	0.00	50.00	50.00	3		94.2	5.5	5.31	3.54	18.32	1.71	3281.00		2.00	7086.30	4617.11	879.73	12.41
1962	Austria	0.00	50.00	50.00	3	18/11/1962	93.8	5.5	2.40	4.38	17.74	1.14	3271.00		2.00	7129.86	4615.14	898.85	12.61
1963	Austria	0.00	50.00	50.00	3		93.8	5.5	4.08	2.71	17.86	-0.51	3258.00		2.30	7175.81	4620.30	916.71	12.78
1964	Austria	0.00	50.00	50.00	3		93.8	5.5	6.04	3.87	17.40	0.49	3250.00		2.10	7223.80	4618.94	937.45	12.98
1965	Austria	0.00	50.00	50.00	3		93.8	5.5	2.86	4.93	16.88	1.41	3228.00		2.00	7270.89	4614.60	958.16	13.18
1966	Austria	0.00	85.21	14.79	2	06/03/1966	93.8	5.5	5.64	2.05	16.14	1.77	3192.00		1.90	7322.07	4613.49	979.15	13.37
1967	Austria	0.00	100.00	0.00	1		93.8	5.5	3.01	3.97	17.86	-0.57	3139.00		2.00	7377.00	4615.09	1001.43	13.58
1968	Austria	0.00	100.00	0.00	1		93.8	5.5	4.47	2.76	19.23	-0.85	3119.00	67.69	2.20	7415.40	4608.38	1020.28	13.76
1969	Austria	0.00	100.00	0.00	1		93.8	5.5	6.28	3.08	19.23	-0.08	3038.00	66.07	2.20	7441.06	4597.53	1036.36	13.93
1970	Austria	0.00	30.41	64.24	4	01/03/1970	91.8	4.8	7.12	4.37	18.55	1.26	3013.00	65.54	1.50	7467.09	4596.77	1051.06	14.08
1971	Austria	0.00	0.00	91.03	5	10/10/1971	92.4	6.0	5.11	4.70	17.46	1.58	3011.00	65.31	1.30	7500.48	4610.44	1066.14	14.21
1972	Austria	0.00	0.00	85.71	5		92.4	6.0	6.21	6.36	16.74	2.13	3028.00	65.27	1.20	7544.20	4639.37	1082.11	14.34
1973	Austria	0.00	0.00	85.71	5		92.4	6.0	4.89	7.53	16.74	1.34	3043.00	65.09	1.10	7586.11	4675.15	1098.00	14.47
1974	Austria	0.00	0.00	85.71	5		92.4	6.0	3.94	9.52	16.87	1.33	3129.81	66.69	1.30	7599.04	4692.91	1113.48	14.65
1975	Austria	0.00	0.00	85.71	5	05/10/1975	92.9	7.7	-0.36	8.45	22.92	-2.60	3078.31	65.62	1.70	7578.90	4691.11	1127.07	14.87
1976	Austria	0.00	0.00	85.71	5		92.9	7.7	4.58	7.32	26.27	-3.94	3070.30	65.23	1.60	7565.53	4706.56	1137.87	15.04
1977	Austria	0.00	0.00	85.71	5		92.9	7.7	5.08	5.49	28.58	-2.52	3111.36	65.63	1.70	7568.43	4740.53	1149.76	15.19
1978	Austria	0.00	0.00	85.71	5		92.9	7.7	-0.21	3.57	32.25	-3.16	3149.41	66.01	1.60	7562.30	4771.36	1160.16	15.34
1979	Austria	0.00	0.00	94.95	5	06/05/1979	92.2	9.8	5.36	3.71	34.24	-2.91	3166.42	65.96	1.30	7549.42	4800.85	1166.51	15.45
1980	Austria	0.00	0.00	100.00	5		92.2	9.8	1.73	6.33	35.84	-2.19	3187.63	65.79	1.70	7549.43	4845.10	1162.93	15.40
1981	Austria	0.00	0.00	100.00	5		92.2	9.8	-0.14	6.80	37.60	-2.21	3233.86	65.82	2.80	7568.71	4913.28	1143.81	15.11
1982	Austria	0.00	0.00	100.00	5		92.2	9.8	2.01	5.44	39.97	-3.83	3279.60	65.89	3.30	7574.14	4977.65	1116.16	14.74
1983	Austria	12.16	0.00	87.84	4	24/04/1983	92.6	9.3	2.97	3.34	44.23	-4.73	3274.05	65.07	3.40	7561.91	5031.47	1086.97	14.37
1984	Austria	20.00	0.00	80.00	4		92.6	9.3	0.05	5.66	46.65	-3.09	3350.52	65.95	3.40	7561.43	5080.10	1071.03	14.16
1985	Austria	20.00	0.00	80.00	4		92.6	9.3	2.50	3.19	48.84	-3.23	3347.63	65.55	3.70	7564.98	5107.37	1073.81	14.19
1986	Austria	19.32	0.00	80.68	4	23/11/1986	90.5	11.5	2.30	1.71	53.52	-4.33	3375.43	65.92	3.90	7569.79	5120.85	1086.13	14.35
1987	Austria	1.03	44.11	48.56	3		90.5	11.5	1.36	1.40	57.73	-4.97	3416.69	66.65	3.70	7574.59	5126.01	1102.17	14.55
1988	Austria	0.00	46.67	46.67	3		90.5	11.5	3.30	1.92	58.79	-3.68	3414.68	66.58	3.20	7585.32	5129.04	1118.31	14.74
1989	Austria	0.00	46.79	46.79	3		90.5	11.5	3.89	2.57	57.62	-3.30	3440.73	66.83	2.80	7619.57	5148.39	1132.86	14.87
1990	Austria	0.00	46.71	46.71	3	07/10/1990	83.7	19.7	4.35	3.26	57.21	-2.73	3506.92	67.63	3.10	7677.85	5185.74	1146.61	14.93
1991	Austria	0.00	47.06	47.06	3		83.7	19.7	3.44	3.34	57.50	-3.16	3568.43	68.19	3.40	7754.89	5233.25	1158.88	14.94
1992	Austria	0.00	43.75	50.00	3		83.7	19.7	2.09	4.02	57.48	-2.17	3662.52	69.31	3.40	7840.71	5284.26	1169.34	14.91
1993	Austria	0.00	43.75	50.00	3		83.7	19.7	0.53	3.63	61.94	-4.70	3707.49	69.70	4.00	7905.63	5319.52	1179.98	14.93
1994	Austria	0.00	43.75	50.00	3	09/10/1994	81.9	21.9	2.40	2.95	65.18	-5.22	3788.15	71.07	4.30	7936.12	5329.89	1191.27	15.01
1995	Austria	0.00	43.75	50.00	3	17/12/1995	86.0	23.5	2.67	2.24	69.50	-6.16	3808.89	71.46	4.20	7948.28	5329.99	1202.45	15.13
1996	Austria	0.00	43.03	50.00	3		86.0	23.5	2.40	1.86	70.03	-4.37	3772.47	70.70	4.70	7959.02	5335.96	1212.23	15.23
1997	Austria	0.00	45.91	46.44	3		86.0	26.2	2.46	1.31	65.51	-2.39	3780.14	70.69	4.70	7968.04	5347.24	1220.33	15.32
1998	Austria	0.00	46.15	46.15	3		86.0	26.2	3.54	0.92	67.30	-2.72	3786.64	70.63	4.70	7976.79	5361.37	1226.96	15.38
1999	Austria	0.00	46.15	46.15	3	03/10/1999	80.4	26.8	3.42	0.57	70.67	-2.60	3810.83	70.79	4.20	7992.32	5383.26	1231.69	15.41
2000	Austria	45.36	49.64	4.29	2		80.4	26.8	3.72	2.34	70.43	-2.05	3819.46	70.60	3.90	8011.57	5410.26	1235.84	15.43
2001	Austria	50.00	50.00	0.00	1		80.4	26.8	1.27	2.65	71.56	-0.62	3848.24	70.66	4.00	8042.29	5446.20	1243.62	15.46
2002	Austria	50.00	50.00	0.00	1	24/11/2002	84.3	33.9	1.48	1.81	74.99	-1.34	3918.29	71.38	4.40	8082.12	5489.32	1249.83	15.46
2003	Austria	28.97	64.02	0.00	1		84.3	33.9	0.85	1.36	73.67	-1.76	3963.12	71.66	4.80	8118.25	5530.39	1253.80	15.44
2004	Austria	25.00	66.67	0.00	1		84.3	33.9	2.40	2.06	72.95	-4.79	3890.19	69.97	5.50	8169.44	5559.73	1283.46	15.71
2005	Austria	25.00	66.67	0.00	1		84.3	33.9	2.37	2.30	80.38	-2.51	3971.00	71.25	5.60	8225.28	5573.12	1334.36	16.22
2006	Austria	25.00	66.67	0.00	1	01/10/2006	78.5	32.2	3.65	1.44	77.73	-2.49	4037.81	72.29	5.30	8267.95	5585.94	1377.85	16.66
2007	Austria	0.68	50.46	48.63	3		78.5	32.8	3.50	2.17	74.62	-1.32	4124.04	73.69	4.90	8295.19	5596.45	1412.36	17.03
2008	Austria	0.00	50.00	50.00	3	28/09/2008	78.8	27.3	1.18	3.22	80.09	-1.45	4166.18	74.19	4.10	8321.54	5615.85	1436.49	17.26
2009	Austria	0.00	50.00	50.00	3		78.8	27.9	-3.56	0.51	92.41	-5.32	4205.23	74.73	5.30	8341.48	5626.91	1461.94	17.53
2010	Austria	0.00	50.00	50.00	3		78.8	27.9	1.77	1.81	96.17	-4.45	4220.20	74.77	4.80	8361.07	5644.19	1477.60	17.67
2011	Austria	0.00	50.00	50.00	3		78.8	27.9	2.99	3.29	96.65	-2.56	4246.35	74.82	4.60	8388.53	5675.48	1483.90	17.69
2012	Austria	0.00	50.00	50.00	3		78.8	27.9	0.74	2.49	102.58	-2.17	4293.48	75.41	4.90	8426.31	5693.44	1512.26	17.95
2013	Austria	0.00	50.00	50.00	3	29/09/2013	74.1	33.3	0.27	2.00	98.52	-1.31	4336.16	75.97	5.40	8468.57	5707.45	1542.25	18.21
2014	Austria	0.00	50.00	50.00	3		74.1	32.2	0.48	1.61	106.83	-2.70	4357.67		5.60				
1960	Belgium	33.88	66.12	0.00	1		93.6	4.2		0.30	97.76		3675.00	62.25	2.20	9153.49	5903.99	1095.43	11.97
1961	Belgium	10.93	60.75	28.32	2	26/03/1961	92.3	5.2	4.97	0.99	95.51		3676.00	62.40	1.80	9183.95	5891.01	1111.31	12.10
1962	Belgium	0.00	58.82	41.18	3		92.3	5.2	5.18	1.40	92.13		3716.00	63.08	1.70	9220.58	5890.96	1133.30	12.29
1963	Belgium	0.00	58.82	41.18	3		92.3	5.2	4.40	2.15	85.65		3727.00	62.88	1.50	9289.77	5926.83	1151.41	12.39
1964	Belgium	0.00	58.82	41.18	3		92.3	5.2	6.95	4.17	80.72		3768.00	63.10	1.40	9378.11	5971.78	1171.83	12.50
1965	Belgium	0.00	59.33	40.67	3	23/05/1965	91.6	3.3	3.59	4.07	81.72		3786.00	63.01	1.60	9463.67	6008.85	1195.79	12.64
1966	Belgium	28.97	62.48	8.55	2		91.6	3.3	3.11	4.17	78.32		3805.00	63.10	1.70	9527.81	6030.33	1220.21	12.81
1967	Belgium	36.84	63.16	0.00	1		91.6	3.3	3.87	2.73	76.21		3813.00	63.04	2.40	9580.99	6048.41	1245.03	12.99
1968	Belgium	17.01	61.06	21.93	2	31/03/1968	90.0	3.8	4.17	2.70	76.77		3826.00	63.08	2.80	9618.76	6064.85	1264.51	13.15
1969	Belgium	0.00	59.26	40.74	3		90.0	3.8	6.62	3.75	72.46		3866.00	63.59	2.20	9646.03	6079.89	1280.52	13.28
1970	Belgium	0.00	59.26	40.74	3		90.0	3.8	6.19	3.91	69.63	-4.26	3769.00	61.94	1.80	9655.55	6084.59	1293.14	13.39
1971	Belgium	0.00	59.26	40.74	3	07/11/1971	91.5	2.8	3.75	4.34	68.75	-5.27	3793.00	62.20	1.70	9673.16	6098.52	1305.07	13.49
1972	Belgium	0.00	52.99	47.01	3		91.5	2.8	5.26	5.45	68.40	-7.04	3804.00	62.03	2.20	9711.11	6132.45	1321.62	13.61
1973	Belgium	16.94	41.71	41.35	3		91.5	2.8	6.12	6.96	66.04	-5.90	3840.00	62.28	2.20	9741.72	6165.77	1338.47	13.74
1974	Belgium	25.72	61.50	12.78	2	10/03/1974	90.3	6.6	4.20	12.68	61.70	-4.56	3902.00	62.85	2.30	9772.42	6208.56	1353.01	13.85
1975	Belgium	28.57	71.43	0.00	1		90.3	6.6	-1.33	12.77	63.45	-7.26	3925.00	62.71	4.20	9800.70	6258.80	1364.73	13.92
1976	Belgium	28.79	71.21	0.00	1		90.3	6.6	5.65	9.07	64.14	-7.45	3962.00	62.84	5.50	9818.23	6304.99	1373.23	13.99
1977	Belgium	13.41	63.86	22.73	2	17/04/1977	95.1	7.1	0.63	7.10	67.87	-7.41	3980.00	62.69	6.30	9830.36	6348.45	1380.99	14.05
1978	Belgium	0.00	60.51	39.49	3	17/12/1978	94.8	7.5	2.84	4.47	71.78	-8.18	4008.00	62.76	6.80	9839.53	6385.92	1393.16	14.16
1979	Belgium	0.00	59.77	40.23	3		94.8	7.5	2.34	4.47	75.02	-10.00	4056.00	63.14	7.00	9848.38	6423.89	1405.48	14.27
1980	Belgium	7.94	48.61	43.45	3		94.8	7.5	4.48	6.65	83.87	-11.13	4070.00	62.90	7.40	9859.24	6471.03	1405.89	14.26
1981	Belgium	2.05	51.92	46.03	3	08/11/1981	94.6	5.7	-0.28	7.63	97.85	-16.95	4094.00	62.97	9.40	9858.98	6501.44	1401.14	14.21
1982	Belgium	50.00	50.00	0.00	1		94.6	5.7	0.59	8.73	108.73	-13.06	4120.00	63.04	11.00	9856.30	6535.18	1389.00	14.09
1983	Belgium	50.00	50.00	0.00	1		94.6	5.7	0.31	7.66	120.26	-15.26	4138.00	62.83	10.70	9855.52	6586.21	1362.03	13.82
1984	Belgium	50.00	50.00	0.00	1		94.6	5.7	2.47	6.34	124.65	-10.66	4132.00	62.35	10.80	9855.37	6626.91	1348.39	13.68
1985	Belgium	49.69	50.31	0.00	1	13/10/1985	93.6	7.5	1.65	4.87	129.78	-10.45	4112.00	61.87	10.10	9858.31	6646.67	1362.98	13.83
1986	Belgium	46.67	53.33	0.00	1		93.6	7.5	1.82	1.29	135.51	-10.31	4109.00	61.79	10.00	9861.82	6650.29	1388.81	14.08
1987	Belgium	46.08	53.92	0.00	1	13/12/1987	93.4	8.5	2.31	1.55	140.54	-8.12	4115.00	61.85	9.80	9870.23	6653.58	1409.93	14.28
1988	Belgium	19.13	54.39	26.49	2		93.4	8.5	4.72	1.16	140.75	-7.62	4127.00	61.91	8.80	9901.66	6665.78	1434.34	14.49
1989	Belgium	0.00	52.94	47.06	3		93.4	8.5	3.47	3.11	137.31	-7.66	4144.00	62.09	7.40	9937.70	6674.49	1462.33	14.71
1990	Belgium	0.00	52.94	47.06	3		93.4	8.5	3.14	3.45	141.56	-6.83	4179.00	62.62	6.60	9967.38	6673.79	1487.37	14.92
1991	Belgium	0.00	51.49	48.51	3	24/11/1991	92.7	9.4	1.83	3.22	143.35	-7.35	4210.00	63.07	6.40	10004.49	6674.98	1513.23	15.13
1992	Belgium	0.00	46.74	53.26	3		92.7	9.4	1.53	2.43	153.72	-8.07	4237.10	63.41	7.10	10045.16	6681.93	1537.89	15.31
1993	Belgium	0.00	46.67	53.33	3		92.7	9.4	-0.96	2.75	158.36	-7.45	4278.30	63.92	8.60	10084.47	6693.53	1560.84	15.48
1994	Belgium	0.00	46.67	53.33	3		92.7	9.4	3.23	2.38	155.07	-5.08	4291.00	64.02	9.80	10115.60	6702.67	1584.11	15.66
1995	Belgium	0.00	46.67	53.33	3	21/05/1995	91.1	12.0	2.38	1.47	152.13	-4.45	4318.00	64.41	9.70	10136.81	6703.82	1611.07	15.89
1996	Belgium	0.00	46.67	53.33	3		91.1	12.0	1.59	2.08	149.25	-3.93	4328.90	64.58	9.50	10156.64	6703.18	1639.34	16.14
1997	Belgium	0.00	46.67	53.33	3		91.1	12.7	3.71	1.63	143.34	-2.12	4347.80	64.83	9.20	10181.25	6706.15	1665.84	16.36
1998	Belgium	0.00	46.67	53.33	3		91.1	12.7	1.98	0.95	137.80	-0.95	4358.60	64.97	9.30	10203.01	6708.71	1688.02	16.54
1999	Belgium	21.99	24.68	53.33	3	13/06/1999	90.6	23.3	3.56	1.12	126.43	-0.55	4421.00	65.26	8.50	10226.42	6715.13	1706.27	16.68
2000	Belgium	46.67	0.00	53.33	3		90.6	23.3	3.64	2.54	120.35	-0.07	4442.70	66.10	6.90	10251.25	6723.90	1722.41	16.80
2001	Belgium	46.67	0.00	53.33	3		90.6	23.3	0.81	2.47	118.94	0.17	4384.50	65.00	6.60	10286.57	6743.34	1738.06	16.90
2002	Belgium	46.67	0.00	53.33	3		90.6	23.3	1.78	1.65	118.09	0.05	4437.90	65.50	7.50	10332.78	6774.42	1754.39	16.98
2003	Belgium	46.67	0.00	53.33	3	18/05/2003	91.6	35.3	0.77	1.59	114.55	-1.76	4469.70	65.70	8.20	10376.13	6804.81	1771.25	17.07
2004	Belgium	46.67	0.00	53.33	3		91.6	34.7	3.63	2.10	110.20	-0.16	4552.50	66.60	8.40	10421.14	6835.18	1789.81	17.17
2005	Belgium	46.67	0.00	53.33	3		91.6	34.7	2.10	2.78	107.79	-2.57	4658.80	67.70	8.50	10478.62	6878.88	1804.26	17.22
2006	Belgium	46.67	0.00	53.33	3		91.6	34.7	2.50	1.79	99.91	0.21	4680.20	67.50	8.30	10547.96	6941.50	1809.54	17.16
2007	Belgium	46.55	1.08	52.37	3	10/06/2007	91.1	35.3	3.39	1.82	93.70	0.06	4766.30	68.00	7.50	10625.70	7011.71	1814.89	17.08
2008	Belgium	45.84	33.85	20.31	2		91.1	35.3	0.75	4.49	101.14	-1.11	4812.56		7.00	10709.97	7074.05	1828.25	17.07
2009	Belgium	43.60	36.40	20.00	2		91.1	38.0	-2.28	-0.05	109.52	-5.39	4833.30		7.90	10796.49	7124.47	1848.47	17.12
2010	Belgium	40.00	40.00	20.00	2	13/06/2010	89.2	39.3	2.70	2.19	107.77	-3.97			8.30	10920.27	7198.83	1871.67	17.14
2011	Belgium	39.89	38.79	21.32	2		89.2	38.0	1.80	3.53	110.14	-4.11			7.20	11047.74	7267.07	1904.06	17.23
2012	Belgium	38.46	23.08	38.46	3		89.2	38.0	0.16	2.84	120.17	-4.21			7.60	11128.25	7293.94	1942.29	17.45
2013	Belgium	38.46	23.08	38.46	3		89.2	38.0	0.00	1.11	118.01	-3.03			8.40	11178.44	7301.75	1975.16	17.67
2014	Belgium	44.26	25.92	29.82	2	25/05/2014	89.4	39.3	1.30	0.34	129.59	-3.08			8.50	11227.28	7304.24	2013.88	17.94
1990	Bulgaria	6.74	0.00	86.52	4	17/06/1990	90.6	8.5			67.34					8718.30	5797.52	1148.62	13.17
1991	Bulgaria	38.46	0.00	37.87	3	13/10/1991	83.9	8.5			135.87					8632.30	5743.92	1174.58	13.61
1992	Bulgaria	99.45	0.00	0.00	1		83.9	12.9	-7.25		172.19					8540.10	5692.20	1198.32	14.03
1993	Bulgaria	0.00	0.00	0.00			83.9	12.9	-1.48		292.30					8472.30	5657.09	1221.14	14.41
1994	Bulgaria	0.00	0.00	0.00		18/12/1994	75.2	12.9	1.82		173.91					8443.60	5650.14	1242.76	14.72
1995	Bulgaria	0.00	0.00	51.90	5		75.2	13.3	2.86		105.27		3861.37	68.47	10.00	8405.14	5639.25	1262.09	15.02
1996	Bulgaria	0.00	0.00	55.56	5		75.2	13.3	1.57		142.62		3943.87	70.08	9.50	8360.20	5627.56	1275.83	15.26
1997	Bulgaria	63.22	0.00	6.39	2	19/04/1997	58.9	10.8	-1.09		97.30	0.80	3920.71	69.85	11.90	8311.24	5612.89	1286.65	15.48
1998	Bulgaria	100.00	0.00	0.00	1		58.9	10.8	3.46	18.67	69.30	1.10	3830.31	68.48	10.90	8254.68	5593.03	1299.62	15.74
1999	Bulgaria	98.49	0.38	0.00	1		58.9	10.8	-6.69	2.57	76.10	0.10	3720.04	66.73	12.30	8208.81	5574.85	1314.94	16.02
