Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Aotus_lemurinus,Cebidae,Aotus,lemurinus,16.30,16.25,Isler et al 2008,752.8,716.1,1.051,Isler et al 2008,,,,,,,135,76,405.6,1,Jones et al. 2009,,,,,,,,,,,,,,,,1.171,Plavcan & Ruff 2008,,,,,
Aotus_nancymaae,Cebidae,Aotus,nancymaae,,,,794.0,780.0,1.018,Smith and Jungers 1997,3.9,1,1,1.00,Garber et al. 2008,,,,,1.02,Jones et al. 2009,-4.59,2280.4,26.1,1531.3,1533.1,Jones et al. 2009,,,,,,,,,,,,,,,,
Aotus_nigriceps,Cebidae,Aotus,nigriceps,,,,875.0,1040.0,0.841,Isler et al 2008,4.1,1,1,1.00,Garber et al. 2008,,,,,,,-7.72,1807.1,25.2,1432.2,1570.5,Jones et al. 2009,0.105,Campbell et al. 2007,0.708,Campbell et al. 2007,1.9363,60.0,,,Campbell et al. 2007,,,,,,,
Aotus_trivirgatus,Cebidae,Aotus,trivirgatus,16.85,16.13,Isler et al 2008,1044.4,933.3,1.119,Isler et al 2008,2.9,1,1,1.00,Garber et al. 2008,271,142,76.21,303.6,1.06,Jones et al. 2009,4.15,1786.0,24.8,1488.1,1676.3,Jones et al. 2009,0.020,Jones et al. 2009,0.66,Nunn et al. 2003,4.1359,45.5,10,15,Nunn et al 2003; Kappeler & Pereira 2003,1.110,Plavcan & Ruff 2008,,,,,
Aotus_vociferans,Cebidae,Aotus,vociferans,,,,708.0,698.0,1.014,Isler et al 2008,3.3,1,1,1.00,Garber et al. 2008,,,,265.2,1.02,Jones et al. 2009,1.06,2174.4,25.3,1476.4,1511.6,Jones et al. 2009,,,,,,,,,,,,,,,,
Arctocebus_calabarensis,Lorisidae,Arctocebus,calabarensis,6.92,6.53,Isler et al 2008,312.0,306.0,1.020,Isler et al 2008,,,,,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,144.47,133,109.26,156,1.01,Jones et al. 2009,5.52,1844.4,24.8,1218.0,1530.3,Jones et al. 2009,,,,,,,,,,1.000,Plavcan & Ruff 2008,,,,,
Ateles_belzebuth,Atelidae,Ateles,belzebuth,117.02,112.75,Isler et al 2008,7850.0,8484.4,0.925,Isler et al 2008,22.125,4.25,8.75,2.06,Campbell et al 2007,1095,184,,336,1.02,Jones et al. 2009,-0.44,2270.1,25.8,1493.3,1513.0,Jones et al. 2009,2.280,Jones et al. 2009,2.3,Pontzer and Kamilar 2006,1.3499,82.7,9.0,0.4,Campbell et al. 2007,,,18.97,23.53,54.73,2.73,Campbell et al. 2007
Ateles_fusciceps,Atelidae,Ateles,fusciceps,114.24,108.74,Isler et al 2008,8890.0,9160.0,0.971,Isler et al 2008,,,,,,882,227,410,552,1,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
Ateles_geoffroyi,Atelidae,Ateles,geoffroyi,105.09,109.59,Isler et al 2008,7780.0,7290.0,1.067,Isler et al 2008,15,,4.1,,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1048.15,232,816.35,327.6,1.01,Jones et al. 2009,12.38,1539.3,24.3,1344.1,1624.9,Jones et al. 2009,0.730,Jones et al. 2009,1.7,Nunn et al. 2003,1.7633,76.8,14.9,1.4,Campbell et al. 2007,1.579,Plavcan & Ruff 2008,33.50,32.60,24.10,9.80,Campbell et al. 2007
Ateles_paniscus,Atelidae,Ateles,paniscus,103.85,101.20,Isler et al 2008,8490.0,8070.0,1.052,Isler et al 2008,18.2,4,2.3,0.58,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1072.18,229,805.41,453.6,1,Jones et al. 2009,2.06,1576.9,25.6,1456.6,1696.9,Jones et al. 2009,1.360,Jones et al. 2009,2.4,Nunn et al. 2003,1.8238,79.8,7.9,0.1,Campbell et al. 2007,1.567,Plavcan & Ruff 2008,,,,0.9,Sussman et al. 2005
Avahi_laniger,Indriidae,Avahi,laniger,9.86,10.10,Isler et al 2008,1106.0,1307.0,0.846,Isler et al 2008,3,1,1,1.00,Kappeler 1997,365,136.15,149.15,,1.01,Jones et al. 2009,-19.63,1769.0,19.7,1334.1,1600.1,Jones et al. 2009,0.010,Jones et al. 2009,0.46,Pontzer and Kamilar 2006,4.0766,,,,,0.942,Plavcan & Ruff 2008,,,,,
Avahi_occidentalis,Indriidae,Avahi,occidentalis,7.95,,Isler et al 2008,836.3,766.5,1.091,Isler et al 2008,3.5,1,1,1.00,Kappeler 1997,,,,,1.02,Jones et al. 2009,-17.38,1184.4,24.9,981.5,1557.8,Jones et al. 2009,0.010,Jones et al. 2009,,,,,,,,,,,,,,
Brachyteles_arachnoides,Atelidae,Brachyteles,arachnoides,116.72,115.94,Isler et al 2008,9610.0,8070.0,1.191,Isler et al 2008,20.9,7,7.1,1.01,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1028.69,232,734.82,,1.02,Jones et al. 2009,-22.66,1327.0,21.2,1243.5,1361.2,Jones et al. 2009,1.040,Jones et al. 2009,0.9,Nunn et al. 2003,0.7821,20.8,67.1,0.0,Campbell et al. 2007; Kappeler & Pereira 2003,1.336,Plavcan & Ruff 2008,27.80,9.70,61.00,1.60,Campbell et al. 2007
Bunopithecus_hoolock,Hylobatidae,Bunopithecus,hoolock,110.68,105.78,Isler et al 2008,7106.5,6350.0,1.119,Isler et al 2008,,,,,,1080,232.5,635.13,492,1.01,Jones et al. 2009,23.44,1536.0,17.5,1095.2,1318.7,Jones et al. 2009,0.413,"Islam and Feeroz 1992; Ahsan 2001, Chivers 2001",1.26,Campbell et al. 2007,1.7376,79,10.3,2,Campbell et al. 2007,1.030,Plavcan & Ruff 2008,,,,,
Cacajao_calvus,Pitheciidae,Cacajao,calvus,76.00,74.30,Isler et al 2008,3450.0,2880.0,1.198,Isler et al 2008,48.0,16.0,16.0,1.00,"Ayres 1986, 1989",775.62,182,339.29,324,1.01,Jones et al. 2009,-5.73,2118.6,25.5,1516.0,1535.6,Jones et al. 2009,5.250,"Ayres 1986, 1989",3.75,Campbell et al. 2007,1.4504,18.4,3.3,5.2,Campbell et al. 2007; Kappeler & Pereira 2003,1.255,Plavcan & Ruff 2008,,,,,
Cacajao_melanocephalus,Pitheciidae,Cacajao,melanocephalus,68.77,64.93,Isler et al 2008,3160.0,2710.0,1.166,Isler et al 2008,,,,,,,,,216,1,Jones et al. 2009,0.53,2310.2,25.1,1581.0,1597.1,Jones et al. 2009,,,,,,28.8,4,2,Campbell et al. 2007,,,,,,,
Callicebus_donacophilus,Pitheciidae,Callicebus,donacophilus,,,,991.0,909.0,1.090,Smith and Jungers 1997,,,,,,,,,300,1.02,Jones et al. 2009,-15.87,1089.3,24.4,1238.2,1469.1,Jones et al. 2009,,,,,,,,,,,,,,,,
Callicebus_hoffmannsi,Pitheciidae,Callicebus,hoffmannsi,,,,1090.0,1030.0,1.058,Smith and Jungers 1997,,,,,,,,,,1.02,Jones et al. 2009,-3.97,1584.1,25.8,1417.6,1610.4,Jones et al. 2009,,,,,,,,,,,,,,,,
Callicebus_moloch,Pitheciidae,Callicebus,moloch,,,,1020.0,956.0,1.067,Smith and Jungers 1997,3.3,1,1,1.00,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,163,58.85,303.6,1.01,Jones et al. 2009,-7.7,1740.3,24.6,1330.5,1530.3,Jones et al. 2009,0.070,"Wright 1984, 1986",0.55,Campbell et al. 2007,1.8423,53.7,33,9,Nunn et al 2003; Kappeler & Pereira 2003,1.079,Plavcan & Ruff 2008,,,,,
Callicebus_personatus,Pitheciidae,Callicebus,personatus,,,,1270.0,1380.0,0.920,Smith and Jungers 1997,4.0,1.0,1.0,1.00,Miller 1996,,,,,1.01,Jones et al. 2009,-19.25,1073.9,21.2,1204.5,1458.5,Jones et al. 2009,0.047,"Kinzey 1981, Kinzeyand Becker 1983",0.69,Campbell et al. 2007,2.8206,68,17.6,,Campbell et al. 2007; Kappeler & Pereira 2003,,,,,,,
Callicebus_torquatus,Pitheciidae,Callicebus,torquatus,,19.84,Isler et al 2008,1280.0,1210.0,1.058,Isler et al 2008,4.8,1.0,1.0,1.00,Garber et al. 2008,,,,,,,,,,,,,0.290,"Kinzey 1978, 1981",0.8,Campbell et al. 2007,1.3165,71.3,4,20,Campbell et al. 2007,1.059,Plavcan & Ruff 2008,,,,1.4,Sussman et al. 2005
Callimico_goeldii,Cebidae,Callimico,goeldii,11.43,11.90,Isler et al 2008,499.0,468.0,1.066,Isler et al 2008,7.2,1,2,2.00,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,182.5,153,66.53,214.8,1.05,Jones et al. 2009,-5.33,2091.9,26.0,1476.2,1518.1,Jones et al. 2009,0.320,Jones et al. 2009,2,Nunn et al. 2003,3.1333,29,0,34,Kappeler & Pereira 2003,,,14.00,17.00,66.00,3.00,Porter 2001
Callithrix_argentata,Cebidae,Callithrix,argentata,7.95,8.36,Isler et al 2008,330.0,360.0,0.917,Isler et al 2008,,,,,,219.6,144,,201.6,1.84,Jones et al. 2009,-3.09,1718.5,25.4,1412.8,1614.4,Jones et al. 2009,,,,,,,,,,,,,,,,
Callithrix_aurita,Cebidae,Callithrix,aurita,,,,,,,,7.5,1.5,2.5,1.67,Campbell et al 2007,,140,,,2,Jones et al. 2009,-23.15,1480.6,18.8,1243.8,1379.5,Jones et al. 2009,0.080,Jones et al. 2009,,,,37.5,,18.6,Kamilar 2006,,,,,,,
Callithrix_geoffroyi,Cebidae,Callithrix,geoffroyi,,,,,,,,5.0,2.0,1.0,0.50,Campbell et al 2007,,,,211.2,,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,2.8,Sussman et al. 2005
Callithrix_humeralifera,Cebidae,Callithrix,humeralifera,,8.20,Isler et al 2008,360.0,380.0,0.947,Isler et al 2008,,2.8,3.3,1.18,Nunn & van Schaik 2000,,144,99.01,180,2,Jones et al. 2009,-5.36,1636.7,25.9,1433.7,1605.8,Jones et al. 2009,0.100,Jones et al. 2009,1.12,Pontzer and Kamilar 2006,3.1388,76.5,,,Kamilar 2006,,,,,,5,Sussman et al. 2005
Callithrix_jacchus,Cebidae,Callithrix,jacchus,7.24,7.05,Isler et al 2008,318.0,322.0,0.988,Isler et al 2008,11,2.3,2.9,1.26,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,159.8,144,60.24,201.6,2.31,Jones et al. 2009,-6.58,993.9,25.0,912.7,1488.6,Jones et al. 2009,0.020,Jones et al. 2009,0.88,Nunn et al. 2003,5.5146,22,0,11,Nunn et al 2003,1.056,Plavcan & Ruff 2008,43,14,30,14,Kamilar 2006; Sussman et al. 2005
Callithrix_kuhlii,Cebidae,Callithrix,kuhlii,,,,,,,,5.0,2.0,1.0,0.50,Campbell et al 2007,,,,240,,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
Callithrix_penicillata,Cebidae,Callithrix,penicillata,7.32,7.38,Isler et al 2008,343.8,311.7,1.103,Isler et al 2008,8,3,2,0.67,Campbell et al 2007,,,,184.8,2,Jones et al. 2009,-12.68,1172.2,22.0,1085.0,1442.4,Jones et al. 2009,0.010,Jones et al. 2009,1,Pontzer and Kamilar 2006,8.8623,,,,,1.080,Plavcan & Ruff 2008,,,,,
Callithrix_pygmaea,Cebidae,Callithrix,pygmaea,4.17,4.33,Isler et al 2008,110.0,122.0,0.902,Isler et al 2008,2,1.5,1,0.67,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,182.5,125,90.73,181.2,1.93,Jones et al. 2009,-5.96,2085.3,25.6,1483.2,1526.1,Jones et al. 2009,0.002,Jones et al. 2009,0.29,Nunn et al. 2003,5.5846,,,,,1.034,Plavcan & Ruff 2008,,,,,
Cebus_albifrons,Cebidae,Cebus,albifrons,65.45,63.24,Isler et al 2008,3180.0,2290.0,1.389,Isler et al 2008,25.1,3.8,6.5,1.71,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,547.5,158,270.32,528,1.01,Jones et al. 2009,-0.82,1929.9,25.3,1466.7,1559.7,Jones et al. 2009,0.530,Jones et al. 2009,1.8,Nunn et al. 2003,2.1912,24.6,20,10,Nunn et al 2003; Kappeler & Pereira 2003,,,,,,,
Cebus_apella,Cebidae,Cebus,apella,66.63,64.32,Isler et al 2008,3382.8,2489.1,1.359,Isler et al 2008,12.9,3.6,4.9,1.36,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,657,158,263.12,541.2,1.05,Jones et al. 2009,-10.77,1541.9,24.1,1291.8,1516.9,Jones et al. 2009,0.880,Jones et al. 2009,2.1,Nunn et al. 2003,1.9839,52,10,20,Nunn et al 2003; Kappeler & Pereira 2003,1.455,Plavcan & Ruff 2008,52.7,,,9.9,Kamilar 2006; Sussman et al. 2005
Cebus_capucinus,Cebidae,Cebus,capucinus,72.93,72.12,Isler et al 2008,3285.8,2436.5,1.349,Isler et al 2008,16.4,3.4,5,1.47,Garber et al. 2008,790.83,162,514.07,657.6,1.01,Jones et al. 2009,8.74,2165.7,24.1,1382.2,1667.0,Jones et al. 2009,0.350,Jones et al. 2009,2,Nunn et al. 2003,2.9960,47.5,6.5,14.6,Kamilar 2006; Kappeler & Pereira 2003,1.582,Plavcan & Ruff 2008,24.40,14.90,38.73,10.00,Kamilar 2006
Cebus_olivaceus,Cebidae,Cebus,olivaceus,69.84,68.38,Isler et al 2008,3229.2,2633.3,1.226,Isler et al 2008,21,3.5,6.9,1.97,Garber et al. 2008,792.05,162,725.86,492,1.01,Jones et al. 2009,4.78,1555.2,24.9,1476.6,1703.1,Jones et al. 2009,1.700,Jones et al. 2009,2.3,Pontzer and Kamilar 2006,1.5633,48,8,36,Kamilar 2006,1.573,Plavcan 2001,,,,1.7,Sussman et al. 2005
Cebus_xanthosternos,Cebidae,Cebus,xanthosternos,66.09,64.00,Isler et al 2008,2714.3,2166.7,1.253,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercocebus_agilis,Cercopithecidae,Cercocebus,agilis,116.43,100.89,Isler et al 2008,9500.0,5660.0,1.678,Isler et al 2008,21.5,2,7.5,3.75,Kamilar 2006,,,,372,,Jones et al. 2009,,,,,,,,,,,,75,16,5,Kamilar 2006,1.962,Plavcan & Ruff 2008,34,31,13,10,Kamilar 2006
Cercocebus_galeritus,Cercopithecidae,Cercocebus,galeritus,99.07,95.34,Isler et al 2008,9610.0,5260.0,1.827,Isler et al 2008,18.2,2,9.5,4.75,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,,175,365,252,1.01,Jones et al. 2009,-2.1,539.9,27.4,848.7,1747.6,Jones et al. 2009,0.510,Jones et al. 2009,1.2,Nunn et al. 2003,1.4892,76.6,8.8,8.2,Kamilar 2006,,,41.60,18.40,10.20,12.50,Kamilar 2006
Cercocebus_torquatus,Cercopithecidae,Cercocebus,torquatus,105.99,94.98,Isler et al 2008,9470.0,5500.0,1.722,Isler et al 2008,26.9,,,,van Schaik et al. 1999,434.35,167,,360,1.01,Jones et al. 2009,4.2,1756.2,25.2,1238.3,1560.8,Jones et al. 2009,,,,Nunn et al. 2003,,,13,2,Nunn et al 2003; Kappeler & Pereira 2003,,,,,,,
Cercocebus_torquatus_atys,Cercopithecidae,Cercocebus,torquatus_atys,94.68,86.80,Isler et al 2008,11000.0,6200.0,1.774,Isler et al 2008,90,9,25,2.78,Kamilar 2006,394.2,165.08,,321.6,1.01,Jones et al. 2009,7.92,1860.9,25.6,1275.4,1555.3,Jones et al. 2009,,,,,,68,,,Kamilar 2006,2.460,Plavcan & Ruff 2008,29,,,7.9,Kamilar 2006; Sussman et al. 2005
Cercopithecus_albogularis,Cercopithecidae,Cercopithecus,albogularis,70.10,66.16,Isler et al 2008,6977.7,4261.9,1.637,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_ascanius,Cercopithecidae,Cercopithecus,ascanius,59.58,54.90,Isler et al 2008,4527.6,2901.0,1.561,Isler et al 2008,28.8,1,8.5,8.50,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1580.45,147,146.54,339.6,1.01,Jones et al. 2009,-2.71,1310.1,23.7,1302.5,1551.8,Jones et al. 2009,0.160,Jones et al. 2009,1.5,Nunn et al. 2003,3.3233,54.8,14.2,23.3,Campbell et al. 2007,1.560,Plavcan & Ruff 2008,34.00,17.00,10.00,,Kamilar 2006
Cercopithecus_campbelli,Cercopithecidae,Cercopithecus,campbelli,57.39,54.39,Isler et al 2008,4500.0,2700.0,1.667,Isler et al 2008,14,1,4,4.00,Nunn & van Schaik 2000,,180,362.93,396,1.02,Jones et al. 2009,8.53,2266.7,25.3,1144.2,1505.2,Jones et al. 2009,0.010,Jones et al. 2009,,,,46.3,8.4,33.1,Kamilar 2006,,,31.5,28,18,5.2,Kamilar 2006
Cercopithecus_cephus,Cercopithecidae,Cercopithecus,cephus,65.26,61.69,Isler et al 2008,4290.0,2880.0,1.490,Isler et al 2008,8,1,3,3.00,Hill & Lee 1998,821,172,362.93,276,1.01,Jones et al. 2009,-0.42,1498.7,24.4,1299.9,1499.8,Jones et al. 2009,0.240,Jones et al. 2009,,,,72.5,8.5,11.0,Campbell et al. 2007,1.702,Plavcan & Ruff 2008,,,,,
Cercopithecus_diana,Cercopithecidae,Cercopithecus,diana,62.61,55.15,Isler et al 2008,5200.0,3900.0,1.333,Isler et al 2008,24,1,7,7.00,Hill & Lee 1998,365,,362.93,447.6,1.01,Jones et al. 2009,6.65,2375.7,24.8,1328.4,1541.7,Jones et al. 2009,1.250,Jones et al. 2009,1.6,Nunn et al. 2003,1.2683,58.5,15.8,15.9,Kamilar 2006,1.618,Plavcan & Ruff 2008,28.1,27.7,24.4,7.3,Kamilar 2006
Cercopithecus_erythrotis,Cercopithecidae,Cercopithecus,erythrotis,65.40,,Isler et al 2008,3600.0,2900.0,1.241,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.759,Plavcan & Ruff 2008,,,,,
Cercopithecus_hamlyni,Cercopithecidae,Cercopithecus,hamlyni,65.90,58.80,Isler et al 2008,5490.0,3360.0,1.634,Isler et al 2008,,,,,,,,,343.2,,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_lhoesti,Cercopithecidae,Cercopithecus,lhoesti,74.20,67.30,Isler et al 2008,5970.0,3450.0,1.730,Isler et al 2008,,,,,,485.45,,,192,1,Jones et al. 2009,-1.13,1271.3,22.6,1418.5,1597.6,Jones et al. 2009,,,,,,24.5,35.2,8.8,Campbell et al. 2007,1.840,Plavcan & Ruff 2008,,,,11.4,Sussman et al. 2005
Cercopithecus_mitis,Cercopithecidae,Cercopithecus,mitis,71.33,65.24,Isler et al 2008,7590.6,4628.0,1.640,Isler et al 2008,18.6,1,8.8,8.80,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,565.75,132,688.08,325.2,1,Jones et al. 2009,-1.9,1090.8,22.1,1116.2,1528.5,Jones et al. 2009,0.100,Jones et al. 2009,1,Nunn et al. 2003,2.8025,51.6,20.4,17.5,Campbell et al. 2007,1.970,Plavcan & Ruff 2008,39.70,19.40,27.60,9.50,Kamilar 2006
Cercopithecus_mona,Cercopithecidae,Cercopithecus,mona,61.84,57.75,Isler et al 2008,4705.0,2733.0,1.722,Isler et al 2008,4.8,1,1.9,1.90,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,,,,360,1,Jones et al. 2009,,,,,,,,,,,,,,,,1.900,Plavcan & Ruff 2008,,,,,
Cercopithecus_neglectus,Cercopithecidae,Cercopithecus,neglectus,65.97,60.86,Isler et al 2008,7350.0,4130.0,1.780,Isler et al 2008,4.5,1.5,1.5,1.00,Kamilar 2006,584,177,417.62,315.6,1.02,Jones et al. 2009,-1.11,1382.9,24.1,1329.5,1559.7,Jones et al. 2009,0.060,Jones et al. 2009,0.42,Nunn et al. 2003,1.5196,74.4,9.1,4.7,Campbell et al. 2007,1.776,Plavcan & Ruff 2008,,,,,
Cercopithecus_nictitans,Cercopithecidae,Cercopithecus,nictitans,71.13,67.52,Isler et al 2008,6670.0,4260.0,1.566,Isler et al 2008,13,1,5,5.00,Hill & Lee 1998,719,172,,276,1,Jones et al. 2009,1.69,1482.7,24.7,1267.2,1553.9,Jones et al. 2009,1.150,Jones et al. 2009,1.5,Pontzer and Kamilar 2006,1.2396,75.6,14.3,4.0,Kamilar 2006,1.613,Plavcan & Ruff 2008,,,,,
Cercopithecus_petaurista,Cercopithecidae,Cercopithecus,petaurista,55.08,52.07,Isler et al 2008,4300.0,2918.2,1.474,Isler et al 2008,11.3,1.16,5.67,4.89,Kamilar 2006,,,,228,1.02,Jones et al. 2009,8.93,1677.7,25.9,1205.3,1560.0,Jones et al. 2009,,,,,,33.6,39.7,12.3,Kamilar 2006,1.777,Plavcan & Ruff 2008,34.3,25.6,23.8,5.4,Kamilar 2006
Cercopithecus_pogonias,Cercopithecidae,Cercopithecus,pogonias,59.56,56.56,Isler et al 2008,4260.0,2900.0,1.469,Isler et al 2008,13,1,5,5.00,Hill & Lee 1998,730,165,,289.2,1.01,Jones et al. 2009,1.53,1460.5,24.5,1269.6,1538.7,Jones et al. 2009,1.150,Jones et al. 2009,1.75,Pontzer and Kamilar 2006,1.4462,74.5,4.0,11.5,Campbell et al. 2007,1.652,Plavcan & Ruff 2008,,,,,
Cercopithecus_preussi,Cercopithecidae,Cercopithecus,preussi,,,,,,,,,,,,,,,,312,1.02,Jones et al. 2009,4.78,2348.2,24.5,1255.2,1565.5,Jones et al. 2009,,,,,,51.9,41.4,1.0,Campbell et al. 2007,1.774,Plavcan & Ruff 2008,,,,,
Cercopithecus_solatus,Cercopithecidae,Cercopithecus,solatus,,,,6890.0,3920.0,1.758,Smith and Jungers 1997,,,,,,547.5,,,,1.01,Jones et al. 2009,-0.8,1734.9,24.8,1278.6,1502.7,Jones et al. 2009,,,,,,,,,,,,,,,,
